detector	E0_band0	E0_band1	E0_band2	E0_band3	E0_band4	E0_band5	E0_band6	E0_band7	E0_band8	E0_band9	E0_band10	E0_band11	E0_band12	E0_band13	E0_band14
557	1714.121940858530	1875.441232786860	1927.061092941170	1931.046163622830	1805.003263742610	1651.479841194320	1531.948359838460	1473.581724865160	1409.821580240570	1265.939222493490	1251.242090740920	1178.976344373640	956.607247296940	930.433117462556	895.480863431443
558	1714.123041466630	1875.445269441210	1927.061902232650	1931.044309899740	1805.001679874880	1651.479395116190	1531.948235100590	1473.580890142290	1409.820531072130	1265.939232565700	1251.241544245950	1178.975468807400	956.608209481278	930.432789862591	895.480856898075
559	1714.124141884160	1875.449306593380	1927.062712062220	1931.042456004690	1805.000095974570	1651.478948986230	1531.948110297130	1473.580055392320	1409.819481878830	1265.939242690260	1251.240997825560	1178.974593249830	956.609171588660	930.432462310845	895.480850392378
560	1714.125242111140	1875.453344243350	1927.063522429910	1931.040601937650	1804.998512041670	1651.478502804450	1531.947985428080	1473.579220615230	1409.818434859450	1265.939252867170	1251.240451479760	1178.973717700910	956.610133619023	930.432134807320	895.480843914327
561	1714.126342147570	1875.457382391090	1927.064333335770	1931.038747698600	1804.996928076180	1651.478056570850	1531.947860493440	1473.578385811060	1409.817387817950	1265.939263096380	1251.239905208540	1178.972842160650	956.611095572296	930.431807352019	895.480837463902
562	1714.127441993470	1875.461421036560	1927.065144779820	1931.036893287520	1804.995344078130	1651.477610285430	1531.947735493190	1473.577550979810	1409.816340754310	1265.939273377900	1251.239359011930	1178.971966629060	956.612057448407	930.431479944941	895.480831041071
563	1714.128541648870	1875.465460179740	1927.065956762100	1931.035038704370	1804.993760047510	1651.477163948190	1531.947610427330	1473.576716121480	1409.815293668530	1265.939283711690	1251.238812889920	1178.971091106120	956.613019247294	930.431152586085	895.480824645810
564	1714.129641113770	1875.469499820590	1927.066769282640	1931.033174565460	1804.992175984330	1651.476717559140	1531.947485295850	1473.575881236080	1409.814246560630	1265.939294097760	1251.238266842520	1178.970215591850	956.613980968888	930.430825275455	895.480818278097
565	1714.130740388190	1875.473539959090	1927.067582341490	1931.031310231110	1804.990591888610	1651.476271118260	1531.947360098750	1473.575046323640	1409.813199430590	1265.939304536060	1251.237720869750	1178.969340086250	956.614942613117	930.430498013050	895.480811937906
566	1714.131839472160	1875.477580595210	1927.068395938670	1931.029455100530	1804.989007760330	1651.475823418280	1531.947234836020	1473.574211384140	1409.812152278420	1265.939315026590	1251.237174971600	1178.968464589300	956.615904179917	930.430170798873	895.480805625211
567	1714.132938365660	1875.481621728910	1927.069210074220	1931.027599797760	1804.987423599510	1651.475376475060	1531.947109507660	1473.573376417610	1409.811105104120	1265.939325569330	1251.236629148100	1178.967589101030	956.616865669217	930.429843632920	895.480799339987
568	1714.134037068740	1875.485663360180	1927.070024748180	1931.025744322790	1804.985839406170	1651.474929882960	1531.946984113650	1473.572541424040	1409.810057907690	1265.939336164250	1251.236083399230	1178.966713621420	956.617827080952	930.429516515197	895.480793082206
569	1714.135135581400	1875.489705488980	1927.070839960580	1931.023888675580	1804.984255180290	1651.474483239040	1531.946858654000	1473.571706403470	1409.809010689140	1265.939346811350	1251.235537725020	1178.965838150470	956.618788415049	930.429189445703	895.480786851850
570	1714.136233903650	1875.493748115270	1927.071655711450	1931.022032856130	1804.982670921900	1651.474036543300	1531.946733128680	1473.570871355870	1409.807963448460	1265.939357510610	1251.234992125460	1178.964962688190	956.619750363170	930.428862424437	895.480780648886
571	1714.137332035520	1875.497791239030	1927.072472000850	1931.020176864400	1804.981086630990	1651.473589795740	1531.946607537710	1473.570036281290	1409.806916185650	1265.939368261990	1251.234443405630	1178.964087234570	956.620713618075	930.428535451405	895.480774473291
572	1714.138429977020	1875.501834860230	1927.073288828780	1931.018320700370	1804.979492065080	1651.473142996350	1531.946481881060	1473.569201179700	1409.805868900720	1265.939379065490	1251.233894763110	1178.963211789620	956.621674720611	930.428208526604	895.480768325045
573	1714.139527728160	1875.505878978840	1927.074106195290	1931.016464364020	1804.977907715380	1651.472696145130	1531.946356158750	1473.568366051130	1409.804821593660	1265.939389921080	1251.233349391080	1178.962336353330	956.622635745238	930.427881650034	895.480762204116
574	1714.140625288970	1875.509923594830	1927.074924100420	1931.014607855310	1804.976323333180	1651.472249242100	1531.946230370750	1473.567530895600	1409.803774264480	1265.939400828760	1251.232804093730	1178.961460925720	956.623596691890	930.427554821698	895.480756110483
575	1714.141722659440	1875.513968708170	1927.075742544210	1931.012751174230	1804.974738918490	1651.471802287240	1531.946104517060	1473.566695713100	1409.802726913180	1265.939411788490	1251.232258871070	1178.960585506760	956.624557560498	930.427228041597	895.480750044118
576	1714.142819839610	1875.518014318830	1927.076561526670	1931.010894320760	1804.973154471310	1651.471355280550	1531.945986446540	1473.565860503640	1409.801679539750	1265.939422800260	1251.231713723110	1178.959710096490	956.625518350990	930.426901309732	895.480744004997
577	1714.143916829480	1875.522060426780	1927.077381047860	1931.009037294860	1804.971569991650	1651.470908222050	1531.945860444980	1473.565025267240	1409.800632144200	1265.939433864060	1251.231168649850	1178.958834694870	956.626479063304	930.426574626103	895.480737993095
578	1714.145013629070	1875.526107031990	1927.078201107810	1931.007180096520	1804.969985479510	1651.470461111710	1531.945734377720	1473.564190003900	1409.799584726530	1265.939444979860	1251.230623651300	1178.957959301930	956.627439697367	930.426247990710	895.480732008386
579	1714.146111185330	1875.530154134430	1927.079021706540	1931.005322725710	1804.968400934910	1651.470013949560	1531.945608244760	1473.563354713630	1409.798537286730	1265.939456147650	1251.230078727480	1178.957083917650	956.628400253113	930.425920339298	895.480726050845
580	1714.147210446470	1875.534201734080	1927.079842844100	1931.003465182400	1804.966816357840	1651.469566735580	1531.945482046100	1473.562519396450	1409.797489824830	1265.939466347010	1251.229533878380	1178.956208542040	956.629360730473	930.425590609084	895.480720120446
581	1714.148306677420	1875.538249830890	1927.080664520520	1931.001607466580	1804.965231748320	1651.469119469780	1531.945355781720	1473.561684052360	1409.796442340790	1265.939474558860	1251.228989104010	1178.955333175100	956.630321129382	930.425264120772	895.480714217164
