detector	lam_band0	lam_band1	lam_band2	lam_band3	lam_band4	lam_band5	lam_band6	lam_band7	lam_band8	lam_band9	lam_band10	lam_band11	lam_band12	lam_band13	lam_band14
124	412.2482088	442.1179129	489.4437704	509.3822277	559.2588775	619.1683189	664.1414834	680.3904936	707.8991125	752.9416252	761.0781085	777.9804457	864.4475668	884.5158291	899.57
125	412.2426589	442.1123631	489.4382205	509.3766778	559.2533277	619.1627690	664.1359335	680.3849437	707.8935626	752.9360753	761.0725586	777.9748959	864.4420169	884.5102792	899.57
126	412.2371090	442.1068132	489.4326707	509.3711279	559.2477778	619.1572191	664.1303836	680.3793938	707.8880127	752.9305255	761.0670087	777.9693460	864.4364670	884.5047294	899.56
127	412.2315591	442.1012633	489.4271208	509.3655780	559.2422279	619.1516692	664.1248337	680.3738439	707.8824628	752.9249756	761.0614589	777.9637961	864.4309171	884.4991795	899.56
128	412.2260092	442.0957134	489.4215709	509.3600281	559.2366780	619.1461193	664.1192838	680.3682941	707.8769130	752.9194257	761.0559090	777.9582462	864.4253672	884.4936296	899.55
129	412.2204594	442.0901635	489.4160210	509.3544783	559.2311281	619.1405695	664.1137340	680.3627442	707.8713631	752.9138758	761.0503591	777.9526963	864.4198174	884.4880797	899.54
130	412.2149095	442.0846137	489.4104711	509.3489284	559.2255783	619.1350196	664.1081841	680.3571943	707.8658132	752.9083259	761.0448092	777.9471465	864.4142675	884.4825298	899.54
131	412.2093596	442.0790638	489.4049213	509.3433785	559.2200284	619.1294697	664.1026342	680.3516444	707.8602633	752.9027761	761.0392593	777.9415966	864.4087176	884.4769800	899.53
132	412.2038097	442.0735139	489.3993714	509.3378286	559.2144785	619.1239198	664.0970843	680.3460945	707.8547134	752.8972262	761.0337095	777.9360467	864.4031677	884.4714301	899.53
133	412.1982598	442.0679640	489.3938215	509.3322787	559.2089286	619.1183699	664.0915344	680.3405447	707.8491636	752.8916763	761.0281596	777.9304968	864.3976178	884.4658802	899.52
134	412.1927100	442.0624141	489.3882716	509.3267289	559.2033787	619.1128201	664.0859846	680.3349948	707.8436137	752.8861264	761.0226097	777.9249469	864.3920680	884.4603303	899.52
135	412.1871601	442.0568643	489.3827217	509.3211790	559.1978289	619.1072702	664.0804347	680.3294449	707.8380638	752.8805765	761.0170598	777.9193971	864.3865181	884.4547804	899.51
