detector	E0_band0	E0_band1	E0_band2	E0_band3	E0_band4	E0_band5	E0_band6	E0_band7	E0_band8	E0_band9	E0_band10	E0_band11	E0_band12	E0_band13	E0_band14
2652	1714.236334963660	1875.867348015180	1927.148884677750	1930.850769033610	1804.836963803390	1651.432773289200	1531.934934786580	1473.494030019580	1409.711650822630	1265.940553045410	1251.185171442740	1178.884555517440	956.707727795663	930.399019621517	895.480312506249
2653	1714.236605159600	1875.868370144710	1927.149101116250	1930.850301061190	1804.836566996940	1651.432660418440	1531.934901872170	1473.493820642820	1409.711388500530	1265.940556907160	1251.185036779040	1178.884336853520	956.707966240204	930.398938983701	895.480311561038
2654	1714.236875343730	1875.869392305150	1927.149317588610	1930.849833077880	1804.836170188500	1651.432547544430	1531.934868953610	1473.493611264430	1409.711126177050	1265.940560772060	1251.184902120050	1178.884118190150	956.708204679491	930.398858348909	895.480310617390
2655	1714.237145516050	1875.870414496510	1927.149534094820	1930.849365083640	1804.835773378060	1651.432434667190	1531.934836030930	1473.493401884400	1409.710863852190	1265.940564640110	1251.184767465770	1178.883899527310	956.708443113528	930.398777717135	895.480309675300
2656	1714.237415676580	1875.871436718790	1927.149750634870	1930.848897078510	1804.835376565630	1651.432321786720	1531.934803104100	1473.493192502740	1409.710601525950	1265.940568511310	1251.184632816200	1178.883680865020	956.708681542309	930.398697088378	895.480308734772
2657	1714.237685825300	1875.872458971980	1927.149967208780	1930.848429062470	1804.834979751210	1651.432208903010	1531.934770173130	1473.492983119440	1409.710332881300	1265.940572385660	1251.184498171340	1178.883462203280	956.708919965841	930.398616462648	895.480307795803
2658	1714.237955962210	1875.873481256090	1927.150183816530	1930.847961035510	1804.834582934790	1651.432096016060	1531.934737238030	1473.492773734500	1409.710070551400	1265.940576263150	1251.184363531190	1178.883243542080	956.709158384117	930.398535839937	895.480306858395
2659	1714.238226087320	1875.874503571120	1927.150400458140	1930.847492997640	1804.834186116380	1651.431983125880	1531.934704298790	1473.492564347940	1409.709808220120	1265.940580143800	1251.184228895760	1178.883024881420	956.709396797137	930.398455220246	895.480305922546
2660	1714.238496200630	1875.875525917060	1927.150617133610	1930.847024948860	1804.833789295980	1651.431870232470	1531.934671355410	1473.492354959740	1409.709545887450	1265.940584027600	1251.184094265030	1178.882806221300	956.709635204895	930.398374603576	895.480304988253
2661	1714.238766302140	1875.876548293910	1927.150833842920	1930.846556889180	1804.833392473580	1651.431757335820	1531.934638407880	1473.492145569910	1409.709283553410	1265.940587914550	1251.183959639010	1178.882587561730	956.709873607396	930.398293989931	895.480304055523
2662	1714.239036391840	1875.877570701680	1927.151050586090	1930.846088818570	1804.832995649190	1651.431644435930	1531.934605456220	1473.491936178440	1409.709021217990	1265.940591804650	1251.183825017700	1178.882368902700	956.710112004638	930.398213379302	895.480303124350
2663	1714.239306469740	1875.878593140360	1927.151267363120	1930.845620737060	1804.832598822800	1651.431531532810	1531.934572500410	1473.491726785340	1409.708758881190	1265.940595697890	1251.183690401100	1178.882150244220	956.710350396622	930.398132771696	895.480302194734
2664	1714.239576535840	1875.879615609960	1927.151484173990	1930.845152644640	1804.832201994430	1651.431418626450	1531.934539540470	1473.491517390610	1409.708496543000	1265.940599594280	1251.183555789220	1178.881931586270	956.710588783346	930.398052167110	895.480301266677
2665	1714.239846590140	1875.880638110470	1927.151701018720	1930.844684541290	1804.831805164060	1651.431305716870	1531.934506576380	1473.491307994240	1409.708234203440	1265.940603493820	1251.183421182040	1178.881712928870	956.710827164804	930.397971565546	895.480300340174
2666	1714.240116632640	1875.881660641890	1927.151917897310	1930.844216427040	1804.831408331700	1651.431192804040	1531.934473608160	1473.491098596240	1409.707971862500	1265.940607396510	1251.183286579580	1178.881494272010	956.711065540999	930.397890967003	895.480299415228
2667	1714.240386663330	1875.882683204220	1927.152134809750	1930.843748301880	1804.831011497350	1651.431079887990	1531.934440635800	1473.490889196610	1409.707709520180	1265.940611302340	1251.183151981830	1178.881275615700	956.711303911928	930.397810371479	895.480298491839
2668	1714.240656682230	1875.883705797470	1927.152351756050	1930.843280165800	1804.830614660990	1651.430966968690	1531.934407659290	1473.490679795350	1409.707447176470	1265.940615211330	1251.183017388790	1178.881056959930	956.711542277592	930.397729778979	895.480297570006
2669	1714.240926689330	1875.884728421620	1927.152568736210	1930.842812018800	1804.830217822660	1651.430854046170	1531.934374678650	1473.490470392440	1409.707184831390	1265.940619123460	1251.182882800470	1178.880838304700	956.711780637992	930.397649189497	895.480296649729
2670	1714.241196684630	1875.885751076680	1927.152785750220	1930.842343860900	1804.829820982330	1651.430741120400	1531.934341693860	1473.490260987910	1409.706922484930	1265.940623038730	1251.182748216850	1178.880619650020	956.712018993118	930.397568603039	895.480295731005
2671	1714.241466668110	1875.886773762670	1927.153002798100	1930.841875692080	1804.829424140000	1651.430628191400	1531.934308704930	1473.490051581750	1409.706660137090	1265.940626957150	1251.182613637940	1178.880400995880	956.712257342984	930.397488019603	895.480294813838
2672	1714.241736639810	1875.887796479540	1927.153219879830	1930.841407512340	1804.829027295690	1651.430515259170	1531.934275711870	1473.489842173950	1409.706397787870	1265.940630878720	1251.182479063750	1178.880182342280	956.712495687575	930.397407439187	895.480293898221
2673	1714.242006599710	1875.888819227340	1927.153436995420	1930.840939321690	1804.828630449380	1651.430402323710	1531.934242714660	1473.489632764530	1409.706135437270	1265.940634803440	1251.182344494270	1178.879963689230	956.712734026895	930.397326861792	895.480292984162
2674	1714.242276547800	1875.889842006040	1927.153654144870	1930.840471120110	1804.828233601080	1651.430289385000	1531.934209713310	1473.489423353470	1409.705873085290	1265.940638731290	1251.182209929500	1178.879745036720	956.712972360945	930.397246287418	895.480292071654
2675	1714.242546484100	1875.890864815640	1927.153871328180	1930.840002907620	1804.827836750780	1651.430176443070	1531.934176707820	1473.489213940780	1409.705610731920	1265.940642662300	1251.182075369450	1178.879526384750	956.713210689722	930.397165716066	895.480291160700
2676	1714.242816408600	1875.891887656160	1927.154088545350	1930.839534684210	1804.827439898510	1651.430063497900	1531.934143698190	1473.489004526450	1409.705348377180	1265.940646596440	1251.181940814100	1178.879307733320	956.713449013220	930.397085147735	895.480290251296
2677	1714.243086321310	1875.892910527580	1927.154305796380	1930.839066449900	1804.827043044230	1651.429950549490	1531.934110684410	1473.488795110500	1409.705086021060	1265.940650533740	1251.181806263470	1178.879089082440	956.713687331448	930.397004582427	895.480289343445
2678	1714.243356222210	1875.893933429910	1927.154523081270	1930.838598204650	1804.826646187970	1651.429837597860	1531.934077666490	1473.488585692910	1409.704823663560	1265.940654474170	1251.181671717550	1178.878870432100	956.713925644398	930.396924020136	895.480288437146
2679	1714.243626111320	1875.894956363140	1927.154740400020	1930.838129948490	1804.826249329710	1651.429724642980	1531.934044644440	1473.488376273690	1409.704561304680	1265.940658417750	1251.181537176340	1178.878651782310	956.714163952067	930.396843460871	895.480287532399
2680	1714.243895988620	1875.895979327280	1927.154957752640	1930.837661681420	1804.825852469470	1651.429611684870	1531.934011618250	1473.488166852850	1409.704298944420	1265.940662364480	1251.181402639850	1178.878433133060	956.714402254462	930.396762904625	895.480286629201
2681	1714.244165854130	1875.897002322320	1927.155175139120	1930.837181736080	1804.825455607220	1651.429498723520	1531.933978587900	1473.487957430370	1409.704036582780	1265.940666314340	1251.181268108070	1178.878214484350	956.714640551580	930.396682351402	895.480285727554
2682	1714.244435707850	1875.898025348270	1927.155392559460	1930.836713439490	1804.825058743000	1651.429385758950	1531.933945553430	1473.487748006260	1409.703774219760	1265.940670267350	1251.181133581010	1178.877995836190	956.714878843412	930.396601801197	895.480284827457
2683	1714.244705549770	1875.899048405120	1927.155610013670	1930.836245131980	1804.824661876770	1651.429272791130	1531.933912514800	1473.487538580520	1409.703511855360	1265.940674223500	1251.180999058660	1178.877777188570	956.715117129964	930.396521254014	895.480283928908
2684	1714.244975379890	1875.900071492870	1927.155827501740	1930.835776813550	1804.824265008560	1651.429159820090	1531.933879472040	1473.487329153150	1409.703249489580	1265.940678182800	1251.180864541010	1178.877558541490	956.715355411238	930.396440709858	895.480283031909
2685	1714.245245198210	1875.901094611530	1927.156045023680	1930.835308484190	1804.823868138360	1651.429046845810	1531.933846425130	1473.487119724150	1409.702987122430	1265.940682145240	1251.180730028090	1178.877339894950	956.715593687228	930.396360168715	895.480282136461
2686	1714.245515004750	1875.902117761090	1927.156262579480	1930.834840143920	1804.823471266170	1651.428933868300	1531.933813374080	1473.486910293520	1409.702724753890	1265.940686110820	1251.180595519880	1178.877121248960	956.715831957929	930.396279630602	895.480281242558
2687	1714.245784799480	1875.903140941550	1927.156480169140	1930.834371792720	1804.823074391980	1651.428820887550	1531.933780318890	1473.486700861260	1409.702462383970	1265.940690079540	1251.180461016380	1178.876902603510	956.716070223343	930.396199095506	895.480280350204
2688	1714.246054582420	1875.904164152900	1927.156697792680	1930.833903430600	1804.822677515810	1651.428705059660	1531.933747259550	1473.486491427370	1409.702200012670	1265.940694051400	1251.180326517590	1178.876683958610	956.716308483473	930.396118563433	895.480279459396
2689	1714.246324353570	1875.905187395160	1927.156915450080	1930.833435057560	1804.822280637650	1651.428592073560	1531.933714196080	1473.486281991850	1409.701937639980	1265.940698026400	1251.180192023520	1178.876465314250	956.716546738319	930.396038034383	895.480278570137
2690	1714.246594112920	1875.906210668330	1927.157133141350	1930.832966673590	1804.821883757500	1651.428479084240	1531.933681128460	1473.486072554700	1409.701675265930	1265.940702004540	1251.180057534160	1178.876246670430	956.716784987870	930.395957508352	895.480277682423
2691	1714.246863860470	1875.907233972390	1927.157350866490	1930.832498278700	1804.821486875350	1651.428366091670	1531.933648056700	1473.485863115920	1409.701412890490	1265.940705985830	1251.179923049520	1178.876028027160	956.717023232137	930.395876985345	895.480276796259
2692	1714.247133596240	1875.908257307350	1927.157568625500	1930.832029872880	1804.821089991220	1651.428253095870	1531.933614980790	1473.485653675510	1409.701150513680	1265.940709970250	1251.179788569590	1178.875809384420	956.717261471106	930.395796465355	895.480275911638
2693	1714.247403320200	1875.909280673210	1927.157786418370	1930.831561456140	1804.820693105090	1651.428140096840	1531.933581900750	1473.485444233470	1409.700888135480	1265.940713957810	1251.179654094380	1178.875590742240	956.717499704787	930.395715948393	895.480275028562
2694	1714.247673032380	1875.910304069960	1927.158004245110	1930.831093028470	1804.820296216980	1651.428027094570	1531.933548816560	1473.485234789800	1409.700625755900	1265.940717948520	1251.179519623880	1178.875372100590	956.717737933174	930.395635434449	895.480274147030
